,creationTime,hour,nickname,productType,score,content,days
0,2024-09-17 16:10:01, 16,"""q***u""","""【性能大屏】Pro16英寸 2.5K高刷""",3,"""挺好的 过几天再来追评""","1,""afterDays"":0"
1,2023-04-30 09:06:15, 09,"""j***0""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""还好吧，物流很快第二天就到了""","2,""afterDays"":0"
2,2022-12-04 18:02:19, 18,"""w***l""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""东西包装很结实，刚用，感觉还行。""","2,""afterDays"":0"
3,2022-10-06 11:22:48, 11,"""j***k""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""发烫很快也很厉害其它还行""","4,""afterDays"":0"
4,2024-11-11 21:55:30, 21,"""p***o""","""【性能大屏】Pro16英寸 2.5K高刷""",3,"""可以，联想的东西，智能话不能和华为比！""","58,""afterDays"":0"
5,2024-10-12 23:45:35, 23,"""u***3""","""""",3,"""用了1个月以后就开始卡了""","53,""afterDays"":0"
6,2023-10-06 22:13:20, 22,"""u***i""","""【性能小钢炮】Pro16 2.5K高刷屏""",3,"""还行吧，其实有点小毛病，适合文科生用""","35,""afterDays"":0"
7,2023-07-05 16:58:03, 16,"""j***y""","""【性能小钢炮】Pro16 2.5K高刷屏""",3,"""客服态度。。。一直机器""","22,""afterDays"":0"
8,2023-03-23 13:09:52, 13,"""j***0""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""普普通通看后期使用吧，验过机是正品，可以相信自营店""","3,""afterDays"":0"
9,2023-09-16 19:05:16, 19,"""j***a""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""想问一下这个office的邮箱验证码怎么看啊😰😰😰""","2,""afterDays"":0"
10,2022-11-10 09:46:48, 09,"""T***嘟""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""还可以吧。摸着磨砂的感觉。挺轻。""","11,""afterDays"":0"
11,2024-02-16 19:37:16, 19,"""b***0""","""【性能大屏】Pro16英寸 2.5K高刷""",3,"""充电器特别烫，外观好看""","8,""afterDays"":0"
12,2022-12-16 08:07:16, 08,"""旊***炑""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""看视频，满电量两个半小时""","39,""afterDays"":0"
13,2024-05-01 21:50:11, 21,"""n***k""","""【性能大屏】Pro16英寸 2.5K高刷""",3,"""其他平台更便宜！！！！""","2,""afterDays"":0"
14,2023-08-11 19:31:50, 19,"""u***a""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""还没正式使用，希望都OK！""","4,""afterDays"":5"
15,2022-11-20 21:24:44, 21,"""l***4""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""掉电很快，还撑不够4个小时""","2,""afterDays"":0"
16,2022-11-14 15:23:56, 15,"""j***p""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""电脑很好看，但是前两天电脑卡住了""","3,""afterDays"":0"
17,2023-03-31 20:57:55, 20,"""1***d""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""运行速度：一般  体验一般""","27,""afterDays"":0"
18,2024-10-17 20:28:11, 20,"""j***u""","""【超能轻薄】Pro14英寸 2.8K高刷""",3,"""买来买去都是同一台。""","2,""afterDays"":0"
19,2023-08-27 19:06:46, 19,"""j***d""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""散热性能：可以\n怎么感觉耗电快嘞""","4,""afterDays"":0"
20,2023-02-06 09:39:19, 09,"""j***z""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""首先咱看一下这京东物流，再看看这运营速度，也是没谁了""","3,""afterDays"":0"
21,2023-04-24 10:19:17, 10,"""橘***吖""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""系统还不错，但是不能胜任大型图片处理。""","4,""afterDays"":0"
22,2023-11-24 15:54:29, 15,"""j***z""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""看着还可以 先用试试""","1,""afterDays"":0"
23,2023-11-18 08:17:14, 08,"""j***2""","""【性能小钢炮】Pro16 2.5K高刷屏""",3,"""这电脑很好，质量还行。""","7,""afterDays"":0"
24,2022-12-19 18:52:00, 18,"""j***w""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""更新Windows时屏幕花了，字和背景都花了""","7,""afterDays"":0"
25,2023-07-14 20:14:35, 20,"""j***q""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""开机不到半小时，烫得很&hellip;&hellip;""","8,""afterDays"":0"
26,2024-10-28 23:32:15, 23,"""j***j""","""【超能轻薄】Pro14英寸 2.8K高刷""",3,"""刚开始用有点卡，希望可以改进，再用几天看一下""","10,""afterDays"":0"
27,2023-08-26 21:14:28, 21,"""j***d""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""怎么说呢，还是挺好的，客服态度挺好的，自己看图""","3,""afterDays"":0"
28,2023-02-25 16:59:04, 16,"""j***e""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""我才刚买的，但是里面的保修22年十月已经开始计算了&hellip;""","13,""afterDays"":0"
29,2023-12-10 20:25:02, 20,"""v***k""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""双十一价格4968，12月10日，过价保没几天，4749，想买的，沉得住气""","42,""afterDays"":0"
30,2023-11-16 20:47:17, 20,"""哈***啊""","""【性能小钢炮】Pro16 2.5K高刷屏""",3,"""亏，很亏，还行吧，挺好的""","23,""afterDays"":0"
31,2024-03-05 12:45:50, 12,"""j***p""","""【超能轻薄】Pro14英寸 2.8K高刷""",3,"""物流速度非常快，外观十分好看 小巧轻便，使用感不错""","2,""afterDays"":0"
32,2024-10-10 18:03:27, 18,"""j***9""","""【超能轻薄】Pro14英寸 2.8K高刷""",3,"""刚到手感觉还行吧，就客服不太管事&hellip;用一段时间看👀""","1,""afterDays"":0"
33,2023-04-01 12:02:47, 12,"""j***m""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""足够轻   长🉐不错   但是才用不久  就出现卡顿等问题""","56,""afterDays"":0"
34,2022-08-08 19:29:34, 19,"""j***s""","""【爆品】Pro14 标压 2.8K高刷屏""",3,"""屏幕效果：屏幕挺好，很清晰\n轻薄程度：比较轻薄，轻便""","1,""afterDays"":0"
35,2024-04-04 18:51:25, 18,"""u***t""","""【性能大屏】Pro16英寸 2.5K高刷""",3,"""物流超快，包装也很好，但在使用时有点卡顿，待用段时间再评论""","2,""afterDays"":0"
36,2023-07-08 01:24:30, 01,"""孤***z""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""将就吧，毕竟价格在那里。\n散热一般般，一咋就烫的不行\n包装非常结实，东西保护得很好，值得好评""","45,""afterDays"":0"
37,2023-08-23 07:19:27, 07,"""j***u""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""新电脑到了，颜色比想象的要好，屏幕大小很合适，性能还没测试""","2,""afterDays"":0"
38,2023-12-17 23:17:29, 23,"""想***脑""","""【性能小钢炮】Pro14 2.8K高刷屏""",3,"""散热还行，风扇声有点大，挺高清的，暂时不卡。""","5,""afterDays"":0"
39,2024-02-06 10:23:16, 10,"""6***7""","""【超能轻薄】Pro14英寸 2.8K高刷""",3,"""金属质感不错，但总体偏重，不够轻便，比华硕灵耀差远了。""","8,""afterDays"":0"
