,creationTime,hour,nickname,productType,score,content,days
0,2024-09-11 22:13:43, 22,"""二***3""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""运行速度：很快 跟老电脑比简直像火箭一样\n屏幕效果：通透 早知道买16寸了\n散热性能：还可以吧\n外形外观：很喜欢\n轻薄程度：跟之前的13寸差不了多少\n酷睿Ultra很棒""","1,""afterDays"":0"
1,2024-09-01 09:36:41, 09,"""j***e""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""酷睿Ultra的处理器很流畅\n适应现在ai时代的ai电脑\n非常喜欢，以后使用一些ai的场景也非常合适。很轻便，外观简洁好看，系统运行起来非常流畅。\n运行速度：非常快\n屏幕效果：屏幕清晰\n散热性能：很好\n外形外观：漂亮\n轻薄程度：不错""","2,""afterDays"":0"
2,2024-09-07 10:58:03, 10,"""峥***弟""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""酷睿Ultra很牛！智能AI、联想AI、酷睿AI！牛的！质量很好！新电脑用这特别舒服，还记得19年也买了一款小新笔记本，然后一直用了很多年，现在可以光荣退休了，oled屏幕很鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特别是机身的重量也很小巧。""","3,""afterDays"":0"
3,2024-09-14 12:38:30, 12,"""陌***y""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""真的强烈推荐，一分钱一分货，现在有政府补贴，价格已经冰点，非常值得入手。电脑运行速度快，续航时间长，充电很快，赶紧冲！""","1,""afterDays"":11"
4,2024-09-13 22:49:04, 22,"""j***O""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""酷睿Ultra用起来真的很好，速度快，智能化。同时笔记本设计也很新潮，美观，非常让人喜欢。笔记本也很轻薄，比那些没风扇的性能强太多了""","2,""afterDays"":0"
5,2024-09-10 22:06:49, 22,"""****8""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""新买的联想小新笔记本，配置了最新的酷睿UItra5处理器，用起来非常流畅，玩大型游戏也不烫，安静无噪音，屏幕看久了眼睛也没什么不舒服，很满意的一次电脑购买体验""","1,""afterDays"":0"
6,2024-10-01 18:23:24, 18,"""j***U""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""新买的联想笔记本，配置了最新最新的酷睿Ultra处理器，用起来非常流畅，玩大型游戏也不烫，安静无噪音，屏幕看久了也没什么不舒服，很满意的一次购物体验""","9,""afterDays"":0"
7,2024-10-31 14:01:54, 14,"""j***a""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""等待了好久才等到小新Pro 14超能本，整机漂亮、轻便便携，手感不错，性能优良、运行速度快，分辨率高。安静无噪音。""","1,""afterDays"":0"
8,2024-09-14 00:20:35, 00,"""-***8""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""屏幕大 性能高 是酷睿UItra处理器 画面更加流畅 特别适合视觉体验要求较高的用户 时尚与轻薄皆备""","11,""afterDays"":0"
9,2024-09-13 21:56:47, 21,"""静***静""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""联想小新酷睿UItra5加入购物车一个多月了，刚好京东有补贴赶紧拿下，开机很快，外观好看，散热不错，整体满意，后续使用再看看运行""","2,""afterDays"":0"
10,2024-09-25 12:36:31, 12,"""爱***6""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""电脑很快，这配置很厉害👍大品牌正规店铺买着就是放心\n运行速度：快\n屏幕效果：很好\n散热性能：很棒\n外形外观：很美\n轻薄程度：可以\n其他特色：键盘很好\n散热能力：很棒\n运行速度：超快""","8,""afterDays"":0"
11,2024-10-30 18:57:31, 18,"""a***7""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""物品收到了，使用了几天，手感超好的，酷睿Ultra处理器，超给力的，运行速度很快。""","13,""afterDays"":0"
12,2024-09-14 14:15:29, 14,"""j***l""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""电脑大小刚刚好，很轻便，方便携带，显示屏效果也非常好，这是我用的第二个小新，上一个用了五年没有出过任何故障，酷睿Ultra泰酷辣！！！""","12,""afterDays"":0"
13,2024-09-14 07:19:45, 07,"""B***-""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""酷睿Ultra太棒了！！下单第二天就到了。一打开就被惊艳到了，外观也很高级，运行速度很快，不愧是新款。""","2,""afterDays"":0"
14,2024-09-05 18:27:37, 18,"""大***帆""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""弟弟建议我买酷睿Ultra 5就够用了，因为我就处理文档不打游戏，电脑第二天就到了，OLED屏幕看着很舒服，系统也很智能流畅，还有官方应用商店，用起来很方便""","1,""afterDays"":0"
15,2024-09-07 09:26:14, 09,"""j***鱼""","""【AI元启】Pro14英寸 OLED高刷""",5,"""这几年家里买过三次小新系列的笔记本电脑，这次买的是小新Pro14，酷睿Ultra9处理器的，也是第一次用ai笔记本，整体做工和体验都很不错，颜色也喜欢，接口丰富，重量轻薄，十分满意""","2,""afterDays"":0"
16,2024-10-25 15:55:19, 15,"""阳***蛐""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""用了一周时间。开机速度非常快，酷睿Ultra5的CPU","6,""afterDays"":0"
17,2024-09-10 14:17:58, 14,"""一***呀""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""外形外观：买的银色款，整体来说挺时尚\n轻薄程度：轻便便携，手感还算不错\n运行速度：比起之前用的电脑整体运行速度很快，开机只需几秒钟\n屏幕效果：屏幕色彩适度，没有特别亮，不伤眼\n敲打键盘还是很舒服""","15,""afterDays"":0"
18,2024-09-13 10:30:37, 10,"""j***p""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""购买这台电脑是我近期最明智的决策之一！首先，电脑的配置非常高，搭载了最新的处理器和显卡，运行速度飞快，无论是处理大型项目还是进行高清游戏，都能轻松应对，让我非常满意。客服人员的态度也非常棒，耐心解答了我所有的疑问，并提供专业的购买建议，让我感受到了贴心和尊重。物流速度更是超出我的预期，下单后第二天电脑就送到了，包装完好，没有任何损坏。而且，电脑的组装和调试都非常简单，即使是电脑小白也能轻松上手。使用了一段时间后，我发现电脑的散热性能非常好，即使长时间运行也不会出现过热现象。""","4,""afterDays"":4"
19,2024-09-11 20:54:51, 20,"""d***忠""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""笔记本非常小巧精致，小新桌面非常潮流时尚，适合学生使用。同时笔记本采用了强大的酷睿Ultra处理器，强大的性能让人十分满意，虽然是配备的集显，但是显卡性能十分出色，畅玩各类游戏不在话下。""","1,""afterDays"":0"
20,2024-10-25 10:23:30, 10,"""L***Q""","""【超能轻薄】Pro14英寸 2.8K高刷""",5,"""第一眼觉得电脑质感非常不错，金属的机身泛着微光。打开发现屏幕显示效果更是不错，肉眼可见的细腻。续航也很ok，办公使用能用五六个小时。""","2,""afterDays"":2"
21,2024-09-06 21:48:38, 21,"""淑***1""","""【AI元启】Pro14英寸 OLED高刷""",5,"""购买的笔记本电脑体验我真的很满意。从外观设计到硬件配置，酷睿Ultra的这款电脑的每个方面都表现得非常出色。最重要的是，它的电池续航能力完全超出了我的预期。我可以一整天都不用担心电量不足的问题。""","3,""afterDays"":0"
22,2024-10-30 13:53:55, 13,"""小***航""","""【超能轻薄】Pro14英寸 OLED高刷""",5,"""酷睿Ultra系列。称重2.95斤，挺好看的，触摸板很滑。刚好有政府补贴，nice。这个算是轻薄本中性能快拉满了的，希望可以用很久""","1,""afterDays"":0"
23,2024-09-14 10:58:35, 10,"""B***丶""","""【性能大屏】Pro16英寸 2.5K高刷""",5,"""下单后不到一天就收到了，是全新未拆封产品，外观完美无瑕疵，酷睿Ultra 5和AI电脑，性能非常不错，32G+1TB使用绰绰有余，政府补贴性价比拉满。""","2,""afterDays"":0"
